Abas,1
Abdonas,6
Abdula,1
Abelis,2
Abigaile,3
Abija,4
Abis,1
Abraomas,2
Achilas,1
Achmedas,4
Ada,311
Adalberta,1
Adalbertas,1
Adalija,1
Adamas,469
Adanas,11
Adas,1880
Adauktas,2
Adela,31
Adelaida,9
Adele,42
Adelija,258
Adelina,210
Adeodatas,1
Adilija,2
Adis,23
Adolfa,10
Adolfas,756
Adolfina,235
Adolfinas,1
Adolis,128
Adolius,11
Adomas,4551
Adona,2
Adonis,36
Adriana,1253
Adrianas,155
Adrija,1553
Adrijonas,2
Adrijus,1262
Adris,29
Adrius,11
Adzius,3
Afanasija,5
Afanasijus,10
Afija,1
Afrodita,2
Aga,2
Agafija,26
Agapija,2
Agata,1146
Agatas,13
Agatonas,1
Agdalija,1
Ageda,1
Agija,6
Agile,1
Aglaja,19
Agluona,2
Agna,17
Agnas,1
Agneta,307
Agnetas,1
Agne,2
Agnieta,12
Agnija,187
Agnis,10
Agnius,446
Agota,976
Agra,2
Agripina,12
Aguona,4
Aida,2310
Aidana,27
Aidanas,108
Aidas,4625
Aidija,14
Aidijus,1
Aidis,27
Aidora,1
Aidoras,1
Aiga,13
Aigardas,5
Aigaudas,1
Aiginta,2
Aigintas,2
Aigirdas,3
Aigiris,8
Aigis,2
Aigustas,1
Aija,20
Aima,10
Aimana,2
Aimanas,1
Aimanta,1
Aimantas,37
Aimas,4
Aimeda,1
Aimedas,1
Aimintas,1
Aimis,8
Aimius,1
Aina,349
Ainara,8
Ainaras,146
Ainas,61
Aine,3
Ainis,362
Ainius,301
Ainora,19
Ainoras,160
Aira,367
Airas,11
Aire,2
Airija,12
Airijus,33
Airima,3
Airimas,15
Airis,22
Airius,7
Aiseta,2
Aisetas,1
Aista,33
Aistas,7
Aiste,2
Aistida,3
Aistija,1
Aistijus,2
Aistis,854
Aistra,18
Aistris,2
Aistrius,2
Aita,4
Aitara,1
Aitaras,1
Aitra,5
Aitvydas,1
Aiva,414
Aivalda,1
Aivaldas,2
Aivara,11
Aivaras,5334
Aivardas,1
Aivaris,1
Aivas,9
Aivina,2
Aivis,12
Aivydas,14
Ajeras,5
Akacijus,4
Akmis,1
Akvila,1
Akvilas,1
Akvile,4
Akvilija,42
Akvilijus,1
Akvilina,186
Akvilinas,5
Akvilius,2
Ala,1864
Alana,30
Alanas,635
Alanija,1
Alanta,112
Alantas,33
Alba,3
Alberta,69
Albertas,3634
Albertina,41
Albina,1876
Albinas,3560
Alda,10
Aldas,758
Aldija,1
Aldijus,1
Aldis,23
Aldona,10028
Aldonas,21
Aldonija,2
Aldonis,4
Alechandras,1
Aleksa,44
Aleksandra,3058
Aleksandras,6811
Aleksandrija,5
Aleksandrijus,1
Aleksas,1819
Aleksejus,633
Aleksija,24
Aleksijus,1
Aleksis,6
Alena,54
Alenas,116
Alesija,3
Aleta,15
Ale,2
Alfa,19
Alfas,8
Alfija,14
Alfijus,4
Alfonsa,33
Alfonsas,2513
Alfreda,269
Alfredas,1975
Alga,3
Algandas,1
Algardas,2
Algauda,4
Algaudas,17
Algeda,1
Algedas,5
Algida,32
Algidija,5
Algima,105
Algimanta,182
Algimantas,9519
Algimas,12
Algimina,5
Algimintas,1
Algina,193
Alginas,4
Alginija,2
Alginta,3
Algintas,1
Algira,2
Algirda,35
Algirdas,12939
Algis,6294
Algita,44
Algividas,1
Algyda,1
Algys,1
Algmina,1
Algminas,17
Algutis,6
Algvida,1
Algvidas,1
Algvina,1
Alicija,807
Alicijus,1
Alija,52
Alijus,3
Alimana,1
Alimantas,6
Alina,5282
Aliodija,7
Alis,118
Alisa,786
Alisija,46
Alius,669
Alivija,8
Alivydas,1
Alys,21
Alyzas,6
Alkantas,1
Alkas,3
Alkis,1
Alma,4748
Almanas,5
Almanta,7
Almantas,1674
Almas,38
Almeda,24
Almedas,1
Almina,142
Alminas,40
Almindas,1
Alminta,3
Almintas,7
Almis,10
Almyra,27
Almona,5
Almonas,9
Alna,2
Alnora,1
Alodija,1
Aloyza,13
Aloyzas,800
Alondra,2
Alsa,1
Altaja,2
Altautas,2
Aluona,1
Alva,73
Alvaidas,46
Alvainas,1
Alvaras,60
Alvida,150
Alvidas,864
Alvidija,1
Alvilas,1
Alvina,78
Alvinas,13
Alvirdas,11
Alvis,9
Alvita,169
Alvitas,7
Alvyda,636
Alvydas,8473
Alvyra,732
Alvyras,9
Alvys,1
Amadas,1
Amaja,8
Amale,1
Amalija,48
Amanda,720
Amandas,74
Ambraziejus,4
